id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,hw100_value,hw10_value,grundwasser_value
5261,5261_4.jpg,1019,24,1043,0.010886,,,
316,316_1.jpg,1241,45,1286,0.013715,,,
20952,20952_94.jpg,808,45,853,0.009385,,,
20952,20952_67.jpg,1609,24,1633,0.016786,,,
1047,1047_2.jpg,2069,45,2114,0.021995,,,
19768,19768_0.jpg,986,45,1031,0.011165,,,
319,319_4.jpg,890,45,935,0.010205,,,
20952,20952_109.jpg,1166,45,1211,0.012965,,,
4519,4519_0.jpg,1963,45,2008,0.020935,,,
1047,1047_1.jpg,1408,45,1453,0.015385,,,
319,319_11.jpg,1432,45,1477,0.015625,,,
5560,5560_9.jpg,1092,45,1137,0.012225,,,
16801,16801_2.jpg,963,24,987,0.010326,,,
20952,20952_47.jpg,1441,45,1486,0.015715,,,
5917,5917_4.jpg,1158,45,1203,0.012885,,,
20952,20952_99.jpg,1494,45,1539,0.016245,,,
6500,6500_8.jpg,1331,45,1376,0.014615,,,
6500,6500_14.jpg,1102,45,1147,0.012325,,,
5560,5560_7.jpg,1523,45,1568,0.016535,,,
19768,19768_1.jpg,1354,45,1399,0.014845,,,
20952,20952_88.jpg,1047,45,1092,0.011775,,,
20952,20952_105.jpg,1585,31,1616,0.016749,,,
66,66_3.jpg,1458,45,1503,0.015885,,,
20952,20952_33.jpg,1514,45,1559,0.016445,,,
25582,25582_6.jpg,1625,24,1649,0.016946,,,
5261,5261_12.jpg,1547,45,1592,0.016775,,,
20952,20952_123.jpg,1239,45,1284,0.013695,,,
80,80_0.jpg,4048,45,4093,0.041785,,,
16091,16091_15.jpg,1033,45,1078,0.011635,,,
316,316_7.jpg,1198,45,1243,0.013285,,,
20952,20952_18.jpg,1119,24,1143,0.011886,,,
25582,25582_8.jpg,1684,24,1708,0.017536,,,
20952,20952_21.jpg,1777,87,1864,0.020293,,,Das Grundwasser wurde der Summen-Parameter (PAK) in geringer Überschreitung des Hilfswertes direkt Aufüllungsbereich nachgewiesen; so dass per definitionem ein Grundwasserschaden vorliegt.
20952,20952_127.jpg,801,45,846,0.009315,,,
20952,20952_91.jpg,1420,24,1444,0.014896,,,
5311,5311_3.jpg,1103,45,1148,0.012335,,,
566,566_2.jpg,1959,45,2004,0.020895,,,
20952,20952_7.jpg,1339,24,1363,0.014086,,,
20952,20952_25.jpg,1545,45,1590,0.016755,,,
20952,20952_40.jpg,1068,45,1113,0.011985,,,
20952,20952_51.jpg,1169,45,1214,0.012995,,,
6500,6500_12.jpg,1299,45,1344,0.014295,,,
5261,5261_7.jpg,1433,45,1478,0.015635,,,
6500,6500_11.jpg,1089,45,1134,0.012195,,,
5560,5560_10.jpg,1417,45,1462,0.015475,,,
20952,20952_71.jpg,1212,45,1257,0.013425,,,
15597,15597_1.jpg,1372,45,1417,0.015025,,,
468,468_1.jpg,1802,45,1847,0.019325,,,
20952,20952_118.jpg,1259,45,1304,0.013895,,,
20952,20952_87.jpg,1517,45,1562,0.016475,,,
20952,20952_61.jpg,1641,45,1686,0.017715,,,
5560,5560_2.jpg,1467,45,1512,0.015975,,,
20952,20952_11.jpg,1706,45,1751,0.018365,,,
12642,12642_0.jpg,1246,45,1291,0.013765,,,
20952,20952_0.jpg,808,45,853,0.009385,,,
25582,25582_12.jpg,1480,31,1511,0.015699,,,
20952,20952_6.jpg,2107,45,2152,0.022375,,,
25339,25339_5.jpg,1862,45,1907,0.019925,,,
15597,15597_9.jpg,747,24,771,0.008166,,,
319,319_12.jpg,1296,45,1341,0.014265,,,
20952,20952_49.jpg,1924,45,1969,0.020545,,,
20952,20952_69.jpg,1866,31,1897,0.019559,,,
16801,16801_0.jpg,872,45,917,0.010025,,,
20952,20952_78.jpg,1215,24,1239,0.012846,,,
19768,19768_2.jpg,890,45,935,0.010205,,,
3869,3869_4.jpg,1979,24,2003,0.020486,,,
4484,4484_2.jpg,1537,24,1561,0.016066,,,
20952,20952_44.jpg,1642,24,1666,0.017116,,,
6500,6500_1.jpg,800,45,845,0.009305,,,
25339,25339_4.jpg,1992,45,2037,0.021225,,,
66,66_2.jpg,1609,45,1654,0.017395,,,
20952,20952_116.jpg,1259,45,1304,0.013895,,,
319,319_6.jpg,1071,45,1116,0.012015,,,
6500,6500_0.jpg,731,45,776,0.008615,,,
20952,20952_81.jpg,1585,24,1609,0.016546,,,
20952,20952_128.jpg,834,24,858,0.009036,,,
25339,25339_7.jpg,1517,45,1562,0.016475,,,
5311,5311_5.jpg,1026,24,1050,0.010956,,,
20952,20952_29.jpg,1815,45,1860,0.019455,,,
20952,20952_62.jpg,915,45,960,0.010455,,,
20952,20952_104.jpg,1549,45,1594,0.016795,,,
20952,20952_35.jpg,1545,45,1590,0.016755,,,
1047,1047_6.jpg,1477,45,1522,0.016075,,,
20080,20080_0.jpg,4058,45,4103,0.041885,,,
25582,25582_2.jpg,1482,45,1527,0.016125,,,
247,247_0.jpg,2359,45,2404,0.024895,,,
316,316_4.jpg,1758,45,1803,0.018885,,,
1047,1047_4.jpg,2119,45,2164,0.022495,,,
20952,20952_13.jpg,1159,45,1204,0.012895,,,
19768,19768_9.jpg,909,45,954,0.010395,,,
5261,5261_11.jpg,1781,45,1826,0.019115,,,
19768,19768_11.jpg,1001,45,1046,0.011315,,,
20952,20952_58.jpg,1459,45,1504,0.015895,,,
19768,19768_5.jpg,1600,24,1624,0.016696,,,
25582,25582_3.jpg,1562,45,1607,0.016925,,,
5261,5261_8.jpg,1752,45,1797,0.018825,,,
20952,20952_42.jpg,1245,24,1269,0.013146,,,
5560,5560_11.jpg,1018,45,1063,0.011485,,,
5560,5560_15.jpg,1290,24,1314,0.013596,,,
3121,3121_1.jpg,1157,45,1202,0.012875,,,
3869,3869_1.jpg,2094,45,2139,0.022245,,,
5560,5560_3.jpg,1145,45,1190,0.012755,,,
319,319_10.jpg,1141,45,1186,0.012715,,,
12641,12641_4.jpg,1382,45,1427,0.015125,,,
20952,20952_66.jpg,1529,45,1574,0.016595,,,
12641,12641_7.jpg,1011,45,1056,0.011415,,,
25339,25339_1.jpg,1293,45,1338,0.014235,,,
20952,20952_5.jpg,1723,24,1747,0.017926,,,
19768,19768_13.jpg,1966,70,2036,0.02169,,,"Das Grundwasser kann im Plangebiet hoch anstehen, insbesondere bei Hochwasserereignissen."
5311,5311_1.jpg,1117,45,1162,0.012475,,,
5560,5560_0.jpg,1622,45,1667,0.017525,,,
3869,3869_3.jpg,2116,45,2161,0.022465,,,
319,319_7.jpg,899,45,944,0.010295,,,
25339,25339_3.jpg,1203,24,1227,0.012726,,,
20952,20952_37.jpg,1727,31,1758,0.018169,,,
20952,20952_16.jpg,1681,95,1776,0.019565,,,In den entnommenen Grundwasserproben konnte eine erhebliche Beeinflussung des Grundwassers durch den Deponiekorper und mit den Untersuchungen aus dem Jahr 2000 direkt eine erhebliche Grundwasserverunreinigung nachgewiesen werden.
16091,16091_16.jpg,683,45,728,0.008135,,,
6667,6667_3.jpg,2000,24,2024,0.020696,,,
25582,25582_4.jpg,1617,45,1662,0.017475,,,
20952,20952_45.jpg,1659,45,1704,0.017895,,,
17380,17380_0.jpg,7429,45,7474,0.075595,,,
25757,25757_0.jpg,915,45,960,0.010455,,,
20952,20952_90.jpg,1792,24,1816,0.018616,,,
5560,5560_5.jpg,1329,39,1368,0.014421,,,Höchster Grundwasserstand
315,315_0.jpg,8707,45,8752,0.088375,,,
3121,3121_7.jpg,722,24,746,0.007916,,,
25339,25339_10.jpg,821,45,866,0.009515,,,
20952,20952_23.jpg,1815,42,1857,0.019368,,,Stufe-2-Wert Überschreitung
5560,5560_12.jpg,1261,24,1285,0.013306,,,
19768,19768_10.jpg,1627,45,1672,0.017575,,,
20952,20952_73.jpg,1310,45,1355,0.014405,,,
4781,4781_3.jpg,2531,45,2576,0.026615,,,
3121,3121_4.jpg,2330,45,2375,0.024605,,,
20952,20952_36.jpg,1691,24,1715,0.017606,,,
20952,20952_26.jpg,1603,61,1664,0.017799,315.4,,"zwischen 309,67 und 310,12 müNN"
13082,13082_0.jpg,8891,45,8936,0.090215,,,
4781,4781_6.jpg,1203,24,1227,0.012726,,,
66,66_5.jpg,1248,45,1293,0.013785,,,
6500,6500_10.jpg,1158,45,1203,0.012885,,,
16091,16091_6.jpg,683,45,728,0.008135,,,
20952,20952_125.jpg,1723,24,1747,0.017926,,,
319,319_2.jpg,1163,45,1208,0.012935,,,
20952,20952_28.jpg,1613,24,1637,0.016826,,,
566,566_5.jpg,1391,44,1435,0.015186,,,Auf den hohen Grundwasserstand wird hingewiesen
25339,25339_8.jpg,1852,45,1897,0.019825,,,
20952,20952_55.jpg,1678,45,1723,0.018085,,,
16091,16091_14.jpg,1026,45,1071,0.011565,,,
20952,20952_22.jpg,1573,35,1608,0.016745,,,unauffällig
19768,19768_15.jpg,1068,45,1113,0.011985,,,
20952,20952_54.jpg,1396,24,1420,0.014656,,,
4484,4484_5.jpg,1204,24,1228,0.012736,,,
3121,3121_0.jpg,1002,45,1047,0.011325,,,
20952,20952_9.jpg,1601,45,1646,0.017315,,,
20952,20952_24.jpg,1560,47,1607,0.016963,,,ein Grundwasserschaden mit MKW und PAK festgestellt
1,1_0.jpg,1439,45,1484,0.015695,,,
319,319_5.jpg,1047,45,1092,0.011775,,,
19768,19768_8.jpg,2148,45,2193,0.022785,,,
19768,19768_4.jpg,1564,45,1609,0.016945,,,
16091,16091_4.jpg,1382,45,1427,0.015125,,,
20952,20952_100.jpg,890,45,935,0.010205,,,
67,67_1.jpg,1075,24,1099,0.011446,,,
20952,20952_70.jpg,1273,45,1318,0.014035,,,
6500,6500_2.jpg,1041,24,1065,0.011106,,,
566,566_4.jpg,1160,24,1184,0.012296,,,
316,316_0.jpg,1450,45,1495,0.015805,,,
20952,20952_79.jpg,1242,45,1287,0.013725,,,
16091,16091_8.jpg,683,45,728,0.008135,,,
1047,1047_5.jpg,2296,45,2341,0.024265,,,
76,76_0.jpg,4117,45,4162,0.042475,,,
17,17_1.jpg,1067,24,1091,0.011366,,,
7345,7345_4.jpg,1279,45,1324,0.014095,,,
25582,25582_10.jpg,1508,24,1532,0.015776,,,
20952,20952_8.jpg,1454,45,1499,0.015845,,,
20952,20952_57.jpg,1833,45,1878,0.019635,,,
248,248_0.jpg,834,45,879,0.009645,,,
20952,20952_129.jpg,1694,45,1739,0.018245,,,
3869,3869_9.jpg,1516,45,1561,0.016465,,,
3121,3121_8.jpg,1359,24,1383,0.014286,,,
25582,25582_0.jpg,1595,45,1640,0.017255,,,
5560,5560_14.jpg,1027,24,1051,0.010966,,,
4781,4781_4.jpg,1838,45,1883,0.019685,,,
1047,1047_3.jpg,1897,45,1942,0.020275,,,
20952,20952_75.jpg,1494,31,1525,0.015839,,,
6500,6500_5.jpg,1007,45,1052,0.011375,,,
6667,6667_6.jpg,1070,45,1115,0.012005,,,
25582,25582_5.jpg,1718,45,1763,0.018485,,,
20952,20952_108.jpg,1522,24,1546,0.015916,,,
4938,4938_0.jpg,683,45,728,0.008135,,,
25582,25582_7.jpg,1527,31,1558,0.016169,,,
20952,20952_39.jpg,1273,24,1297,0.013426,,,
20952,20952_1.jpg,899,45,944,0.010295,,,
5917,5917_1.jpg,920,24,944,0.009896,,,
16091,16091_12.jpg,683,45,728,0.008135,,,
7345,7345_0.jpg,875,45,920,0.010055,,,
5311,5311_2.jpg,1224,45,1269,0.013545,,,
20952,20952_131.jpg,992,45,1037,0.011225,,,
5311,5311_4.jpg,1482,45,1527,0.016125,,,
20952,20952_15.jpg,1188,31,1219,0.012779,,,
19768,19768_12.jpg,1850,45,1895,0.019805,,,
20952,20952_120.jpg,1249,24,1273,0.013186,,,
10897,10897_0.jpg,2627,45,2672,0.027575,,,
20952,20952_93.jpg,1878,45,1923,0.020085,,,
20952,20952_2.jpg,2089,45,2134,0.022195,,,
15597,15597_3.jpg,1813,46,1859,0.019464,,,zwei Meter über dem höchst gemessenem Grundwasserstand
7345,7345_3.jpg,1244,24,1268,0.013136,,,
20952,20952_85.jpg,1856,45,1901,0.019865,,,
6212,6212_0.jpg,938,45,983,0.010685,,,
20952,20952_86.jpg,917,31,948,0.010069,,,
20952,20952_27.jpg,1433,45,1478,0.015635,,,
5261,5261_1.jpg,720,45,765,0.008505,,,
20952,20952_92.jpg,1300,24,1324,0.013696,,,
5917,5917_3.jpg,1772,24,1796,0.018416,,,
20952,20952_117.jpg,1244,45,1289,0.013745,,,
1047,1047_7.jpg,981,45,1026,0.011115,,,
6667,6667_2.jpg,2012,45,2057,0.021425,,,
4484,4484_0.jpg,893,45,938,0.010235,,,
20952,20952_103.jpg,1464,45,1509,0.015945,,,
20952,20952_114.jpg,1290,45,1335,0.014205,,,
19768,19768_3.jpg,1276,45,1321,0.014065,,,
20952,20952_130.jpg,1952,45,1997,0.020825,,,
7345,7345_2.jpg,1201,45,1246,0.013315,,,
16801,16801_1.jpg,917,45,962,0.010475,,,
7345,7345_1.jpg,1031,45,1076,0.011615,,,
16091,16091_2.jpg,683,45,728,0.008135,,,
4781,4781_5.jpg,1302,45,1347,0.014325,,,
5560,5560_4.jpg,1811,45,1856,0.019415,,,
20952,20952_34.jpg,1554,31,1585,0.016439,,,
20952,20952_10.jpg,1710,45,1755,0.018405,,,
16091,16091_0.jpg,728,45,773,0.008585,,,
5560,5560_13.jpg,1536,45,1581,0.016665,,,
3121,3121_5.jpg,2350,45,2395,0.024805,,,
25339,25339_6.jpg,1507,45,1552,0.016375,,,
4781,4781_2.jpg,1459,45,1504,0.015895,,,
20952,20952_63.jpg,1902,45,1947,0.020325,,,
5261,5261_2.jpg,1098,24,1122,0.011676,,,
20952,20952_50.jpg,1592,45,1637,0.017225,,,
20952,20952_31.jpg,1699,24,1723,0.017686,,,
5261,5261_6.jpg,1169,45,1214,0.012995,,,
1047,1047_0.jpg,890,45,935,0.010205,,,
17,17_4.jpg,1067,45,1112,0.011975,,,
20952,20952_52.jpg,1402,45,1447,0.015325,,,
15597,15597_6.jpg,1150,45,1195,0.012805,,,
15597,15597_2.jpg,1312,45,1357,0.014425,,,
10896,10896_0.jpg,6833,45,6878,0.069635,,,
5306,5306_0.jpg,2317,45,2362,0.024475,,,
20952,20952_20.jpg,1838,31,1869,0.019279,,,
3869,3869_8.jpg,2085,48,2133,0.022242,140.55,,
20952,20952_32.jpg,1885,45,1930,0.020155,,,
20952,20952_101.jpg,1473,45,1518,0.016035,,,
20952,20952_48.jpg,1793,31,1824,0.018829,,,
20952,20952_56.jpg,806,45,851,0.009365,,,
566,566_1.jpg,1673,45,1718,0.018035,,,
20952,20952_53.jpg,1540,45,1585,0.016705,,,
5261,5261_5.jpg,834,45,879,0.009645,,,
20952,20952_12.jpg,1288,45,1333,0.014185,,,
3869,3869_5.jpg,2168,34,2202,0.022666,140.3,,
316,316_2.jpg,1166,24,1190,0.012356,,,
4781,4781_8.jpg,907,24,931,0.009766,,,
15597,15597_8.jpg,1338,45,1383,0.014685,,,
19768,19768_7.jpg,1765,45,1810,0.018955,,,
5260,5260_0.jpg,8599,45,8644,0.087295,,,
20952,20952_89.jpg,1686,45,1731,0.018165,,,
319,319_0.jpg,1490,45,1535,0.016205,,,
6500,6500_13.jpg,1035,45,1080,0.011655,,,
20952,20952_60.jpg,1361,24,1385,0.014306,,,
20952,20952_106.jpg,1446,45,1491,0.015765,,,
20952,20952_126.jpg,1437,24,1461,0.015066,,,
319,319_1.jpg,1179,45,1224,0.013095,,,
12641,12641_1.jpg,1352,45,1397,0.014825,,,
4484,4484_4.jpg,1584,45,1629,0.017145,,,
20952,20952_38.jpg,1511,45,1556,0.016415,,,
4781,4781_9.jpg,895,45,940,0.010255,,,
566,566_0.jpg,1577,45,1622,0.017075,,,
17623,17623_0.jpg,2582,24,2606,0.026516,,,
5560,5560_8.jpg,1267,45,1312,0.013975,,,
3121,3121_2.jpg,2238,45,2283,0.023685,,,
17,17_2.jpg,1493,45,1538,0.016235,,,
5917,5917_0.jpg,1391,45,1436,0.015215,,,
566,566_3.jpg,1828,45,1873,0.019585,,,
12641,12641_6.jpg,799,45,844,0.009295,,,
6540,6540_0.jpg,2985,45,3030,0.031155,,,
14262,14262_0.jpg,933,45,978,0.010635,,,
21745,21745_0.jpg,851,45,896,0.009815,,,
5261,5261_14.jpg,1398,24,1422,0.014676,,,
19768,19768_6.jpg,1882,45,1927,0.020125,,,
20952,20952_68.jpg,1200,24,1224,0.012696,,,
20952,20952_64.jpg,1277,24,1301,0.013466,,,
12641,12641_5.jpg,1192,24,1216,0.012616,,,
8050,8050_0.jpg,1582,45,1627,0.017125,,,
20952,20952_17.jpg,1667,24,1691,0.017366,,,
25339,25339_2.jpg,1044,45,1089,0.011745,,,
16091,16091_7.jpg,1753,45,1798,0.018835,,,
16801,16801_3.jpg,1220,45,1265,0.013505,,,
6667,6667_4.jpg,1519,24,1543,0.015886,,,
6667,6667_0.jpg,824,45,869,0.009545,,,
20952,20952_84.jpg,1495,24,1519,0.015646,,,
25339,25339_9.jpg,1707,45,1752,0.018375,,,
20963,20963_1.jpg,1074,45,1119,0.012045,,,
319,319_3.jpg,991,45,1036,0.011215,,,
1047,1047_8.jpg,1609,45,1654,0.017395,,,
3869,3869_6.jpg,1078,45,1123,0.012085,,,
20952,20952_59.jpg,1398,24,1422,0.014676,,,
15597,15597_7.jpg,1123,24,1147,0.011926,,,
6500,6500_7.jpg,1405,45,1450,0.015355,,,
7361,7361_0.jpg,2963,45,3008,0.030935,,,
12641,12641_0.jpg,1444,45,1489,0.015745,,,
20952,20952_14.jpg,1320,24,1344,0.013896,,,
5261,5261_10.jpg,1886,45,1931,0.020165,,,
20952,20952_95.jpg,1543,45,1588,0.016735,,,
100,100_0.jpg,7904,45,7949,0.080345,,,
5560,5560_6.jpg,1398,45,1443,0.015285,,,
5560,5560_1.jpg,1592,45,1637,0.017225,,,
316,316_5.jpg,1598,45,1643,0.017285,,,
5030,5030_0.jpg,908,45,953,0.010385,,,
20952,20952_82.jpg,1373,24,1397,0.014426,,,
25582,25582_11.jpg,1524,45,1569,0.016545,,,
20952,20952_30.jpg,1746,45,1791,0.018765,,,
5261,5261_3.jpg,1092,24,1116,0.011616,,,
6500,6500_4.jpg,1004,45,1049,0.011345,,,
20952,20952_110.jpg,1247,45,1292,0.013775,,,
16091,16091_13.jpg,1503,45,1548,0.016335,,,
15597,15597_5.jpg,1403,31,1434,0.014929,,,
