id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,eg_fok_value,eg_fok_unit,gok_value,gok_unit,fok_value,fok_unit
20952,20952_124.jpg,1213,24,1237,0.012826,,,,,,
468,468_0.jpg,1703,24,1727,0.017726,,,,,,
1,1_1.jpg,1763,24,1787,0.018326,,,,,,
20952,20952_107.jpg,1862,24,1886,0.019316,,,,,,
20952,20952_113.jpg,1605,24,1629,0.016746,,,,,,
5261,5261_13.jpg,1891,24,1915,0.019606,,,,,,
5311,5311_6.jpg,1517,24,1541,0.015866,,,,,,
66,66_0.jpg,1261,24,1285,0.013306,,,,,,
12641,12641_2.jpg,1798,24,1822,0.018676,,,,,,
5029,5029_0.jpg,1043,24,1067,0.011126,,,,,,
316,316_6.jpg,1868,24,1892,0.019376,,,,,,
1,1_2.jpg,1763,39,1802,0.018761,84,cm,,,,
20952,20952_80.jpg,1765,24,1789,0.018346,,,,,,
20952,20952_19.jpg,1277,24,1301,0.013466,,,,,,
17,17_3.jpg,1396,24,1420,0.014656,,,,,,
20952,20952_96.jpg,1692,24,1716,0.017616,,,,,,
5261,5261_0.jpg,1205,24,1229,0.012746,,,,,,
66,66_4.jpg,1698,24,1722,0.017676,,,,,,
16091,16091_11.jpg,974,63,1037,0.011567,,,,,,
12641,12641_3.jpg,1570,24,1594,0.016396,,,,,,
20952,20952_97.jpg,1672,24,1696,0.017416,,,,,,
20952,20952_41.jpg,2135,24,2159,0.022046,,,,,,
20105,20105_0.jpg,7391,63,7454,0.075737,,,,,,
25582,25582_1.jpg,1818,24,1842,0.018876,,,,,,
16091,16091_1.jpg,1673,24,1697,0.017426,,,,,,
6667,6667_1.jpg,1142,24,1166,0.012116,,,,,,
67,67_3.jpg,1342,24,1366,0.014116,,,,,,
4916,4916_0.jpg,2560,24,2584,0.026296,,,,,,
20952,20952_121.jpg,1587,24,1611,0.016566,,,,,,
67,67_0.jpg,1342,24,1366,0.014116,,,,,,
66,66_1.jpg,1797,24,1821,0.018666,,,,,,
3121,3121_6.jpg,2460,24,2484,0.025296,,,,,,
25339,25339_0.jpg,1922,24,1946,0.019916,,,,,,
20952,20952_119.jpg,1558,24,1582,0.016276,,,,,,
16091,16091_3.jpg,1680,24,1704,0.017496,,,,,,
6667,6667_5.jpg,1495,24,1519,0.015646,,,,,,
16091,16091_5.jpg,1871,24,1895,0.019406,,,,,,
16091,16091_10.jpg,960,63,1023,0.011427,,,,,,
6500,6500_3.jpg,1187,24,1211,0.012566,,,,,,
20952,20952_43.jpg,2028,24,2052,0.020976,,,,,,
20952,20952_3.jpg,2381,24,2405,0.024506,,,,,,
20952,20952_102.jpg,1040,24,1064,0.011096,,,,,,
4484,4484_1.jpg,1280,24,1304,0.013496,,,,,,
5261,5261_15.jpg,1394,24,1418,0.014636,,,,,,
17857,17857_0.jpg,993,24,1017,0.010626,,,,,,
3869,3869_7.jpg,1418,24,1442,0.014876,,,,,,
20952,20952_122.jpg,1572,24,1596,0.016416,,,,,,
4781,4781_10.jpg,1747,24,1771,0.018166,,,,,,
4255,4255_0.jpg,5503,63,5566,0.056857,,,,,,
67,67_2.jpg,1527,24,1551,0.015966,,,,,,
319,319_9.jpg,1555,24,1579,0.016246,,,,,,
4780,4780_0.jpg,4669,24,4693,0.047386,,,,,,
15597,15597_4.jpg,1497,24,1521,0.015666,,,,,,
5917,5917_2.jpg,1925,24,1949,0.019946,,,,,,
6212,6212_1.jpg,1103,24,1127,0.011726,,,,,,
5261,5261_4.jpg,1296,24,1320,0.013656,,,,,,
316,316_1.jpg,1518,24,1542,0.015876,,,,,,
20952,20952_94.jpg,1085,24,1109,0.011546,,,,,,
20952,20952_67.jpg,1886,24,1910,0.019556,,,,,,
1047,1047_2.jpg,2346,24,2370,0.024156,,,,,,
19768,19768_0.jpg,1263,24,1287,0.013326,,,,,,
319,319_4.jpg,1167,24,1191,0.012366,,,,,,
20952,20952_109.jpg,1443,24,1467,0.015126,,,,,,
4519,4519_0.jpg,2240,24,2264,0.023096,,,,,,
1047,1047_1.jpg,1685,24,1709,0.017546,,,,,,
319,319_11.jpg,1709,24,1733,0.017786,,,,,,
5560,5560_9.jpg,1369,24,1393,0.014386,,,,,,
16801,16801_2.jpg,1240,24,1264,0.013096,,,,,,
20952,20952_47.jpg,1718,24,1742,0.017876,,,,,,
5917,5917_4.jpg,1435,24,1459,0.015046,,,,,,
20952,20952_99.jpg,1771,24,1795,0.018406,,,,,,
6500,6500_8.jpg,1608,24,1632,0.016776,,,,,,
6500,6500_14.jpg,1379,24,1403,0.014486,,,,,,
5560,5560_7.jpg,1800,24,1824,0.018696,,,,,,
19768,19768_1.jpg,1631,24,1655,0.017006,,,,,,
20952,20952_88.jpg,1324,24,1348,0.013936,,,,,,
20952,20952_105.jpg,1862,24,1886,0.019316,,,,,,
66,66_3.jpg,1735,24,1759,0.018046,,,,,,
20952,20952_33.jpg,1791,24,1815,0.018606,,,,,,
25582,25582_6.jpg,1902,24,1926,0.019716,,,,,,
5261,5261_12.jpg,1824,24,1848,0.018936,,,,,,
20952,20952_123.jpg,1516,24,1540,0.015856,,,,,,
80,80_0.jpg,4325,24,4349,0.043946,,,,,,
16091,16091_15.jpg,1310,24,1334,0.013796,,,,,,
316,316_7.jpg,1475,24,1499,0.015446,,,,,,
20952,20952_18.jpg,1396,24,1420,0.014656,,,,,,
25582,25582_8.jpg,1961,24,1985,0.020306,,,,,,
20952,20952_21.jpg,2054,24,2078,0.021236,,,,,,
6500,6500_6.jpg,1556,24,1580,0.016256,,,,,,
20952,20952_127.jpg,1078,24,1102,0.011476,,,,,,
20952,20952_91.jpg,1697,24,1721,0.017666,,,,,,
5311,5311_3.jpg,1380,24,1404,0.014496,,,,,,
566,566_2.jpg,2236,24,2260,0.023056,,,,,,
20952,20952_7.jpg,1616,24,1640,0.016856,,,,,,
20952,20952_25.jpg,1822,24,1846,0.018916,,,,,,
20952,20952_40.jpg,1345,24,1369,0.014146,,,,,,
20952,20952_51.jpg,1446,24,1470,0.015156,,,,,,
6500,6500_12.jpg,1576,24,1600,0.016456,,,,,,
5261,5261_7.jpg,1710,24,1734,0.017796,,,,,,
6500,6500_11.jpg,1366,24,1390,0.014356,,,,,,
5560,5560_10.jpg,1694,24,1718,0.017636,,,,,,
20952,20952_71.jpg,1489,24,1513,0.015586,,,,,,
15597,15597_1.jpg,1649,24,1673,0.017186,,,,,,
468,468_1.jpg,2079,24,2103,0.021486,,,,,,
20952,20952_118.jpg,1536,24,1560,0.016056,,,,,,
20952,20952_87.jpg,1794,24,1818,0.018636,,,,,,
20952,20952_61.jpg,1918,24,1942,0.019876,,,,,,
5560,5560_2.jpg,1744,24,1768,0.018136,,,,,,
20952,20952_11.jpg,1983,24,2007,0.020526,,,,,,
12642,12642_0.jpg,1523,24,1547,0.015926,,,,,,
20952,20952_0.jpg,1085,24,1109,0.011546,,,,,,
25582,25582_12.jpg,1757,24,1781,0.018266,,,,,,
20952,20952_6.jpg,2384,24,2408,0.024536,,,,,,
25339,25339_5.jpg,2139,24,2163,0.022086,,,,,,
15597,15597_9.jpg,1024,24,1048,0.010936,,,,,,
319,319_12.jpg,1573,24,1597,0.016426,,,,,,
20952,20952_49.jpg,2201,24,2225,0.022706,,,,,,
20952,20952_69.jpg,2143,24,2167,0.022126,,,,,,
16801,16801_0.jpg,1149,24,1173,0.012186,,,,,,
20952,20952_78.jpg,1492,24,1516,0.015616,,,,,,
19768,19768_2.jpg,1167,24,1191,0.012366,,,,,,
3869,3869_4.jpg,2256,24,2280,0.023256,,,,,,
4484,4484_2.jpg,1814,24,1838,0.018836,,,,,,
20952,20952_44.jpg,1919,24,1943,0.019886,,,,,,
6500,6500_1.jpg,1077,24,1101,0.011466,,,,,,
25339,25339_4.jpg,2269,24,2293,0.023386,,,,,,
66,66_2.jpg,1886,43,1929,0.020107,169,üb NM,,,,
20952,20952_116.jpg,1536,24,1560,0.016056,,,,,,
319,319_6.jpg,1348,24,1372,0.014176,,,,,,
6500,6500_0.jpg,1008,24,1032,0.010776,,,,,,
20952,20952_81.jpg,1862,24,1886,0.019316,,,,,,
20952,20952_128.jpg,1111,24,1135,0.011806,,,,,,
25339,25339_7.jpg,1794,24,1818,0.018636,,,,,,
5311,5311_5.jpg,1303,24,1327,0.013726,,,,,,
20952,20952_29.jpg,2092,24,2116,0.021616,,,,,,
20952,20952_62.jpg,1192,24,1216,0.012616,,,,,,
20952,20952_104.jpg,1826,24,1850,0.018956,,,,,,
20952,20952_35.jpg,1822,24,1846,0.018916,,,,,,
1047,1047_6.jpg,1754,24,1778,0.018236,,,,,,
20080,20080_0.jpg,4335,24,4359,0.044046,,,,,,
25582,25582_2.jpg,1759,24,1783,0.018286,,,,,,
247,247_0.jpg,2636,24,2660,0.027056,,,,,,
316,316_4.jpg,2035,24,2059,0.021046,,,,,,
1047,1047_4.jpg,2396,37,2433,0.025033,,,,,,
20952,20952_13.jpg,1436,24,1460,0.015056,,,,,,
19768,19768_9.jpg,1186,24,1210,0.012556,,,,,,
5261,5261_11.jpg,2058,24,2082,0.021276,,,,,,
19768,19768_11.jpg,1278,24,1302,0.013476,,,,,,
20952,20952_58.jpg,1736,24,1760,0.018056,,,,,,
19768,19768_5.jpg,1877,39,1916,0.019901,25,cm,,,,
25582,25582_3.jpg,1839,24,1863,0.019086,,,,,,
5261,5261_8.jpg,2029,41,2070,0.021479,0.3,m,,,,
20952,20952_42.jpg,1522,24,1546,0.015916,,,,,,
5560,5560_11.jpg,1295,24,1319,0.013646,,,,,,
5560,5560_15.jpg,1567,24,1591,0.016366,,,,,,
3121,3121_1.jpg,1434,24,1458,0.015036,,,,,,
3869,3869_1.jpg,2371,43,2414,0.024957,141.6,m ü NN,,,,
5560,5560_3.jpg,1422,24,1446,0.014916,,,,,,
319,319_10.jpg,1418,24,1442,0.014876,,,,,,
12641,12641_4.jpg,1659,24,1683,0.017286,,,,,,
20952,20952_66.jpg,1806,24,1830,0.018756,,,,,,
12641,12641_7.jpg,1288,41,1329,0.014069,538.5,m,,,,
25339,25339_1.jpg,1570,24,1594,0.016396,,,,,,
20952,20952_5.jpg,2000,24,2024,0.020696,,,,,,
19768,19768_13.jpg,2243,24,2267,0.023126,,,,,,
5311,5311_1.jpg,1394,24,1418,0.014636,,,,,,
5560,5560_0.jpg,1899,24,1923,0.019686,,,,,,
3869,3869_3.jpg,2393,24,2417,0.024626,,,,,,
319,319_7.jpg,1176,24,1200,0.012456,,,,,,
25339,25339_3.jpg,1480,24,1504,0.015496,,,,,,
20952,20952_37.jpg,2004,24,2028,0.020736,,,,,,
20952,20952_16.jpg,1958,24,1982,0.020276,,,,,,
16091,16091_16.jpg,960,24,984,0.010296,,,,,,
6667,6667_3.jpg,2277,41,2318,0.023959,0.3,m,,,,
25582,25582_4.jpg,1894,24,1918,0.019636,,,,,,
20952,20952_45.jpg,1936,24,1960,0.020056,,,,,,
17380,17380_0.jpg,7706,24,7730,0.077756,,,,,,
25757,25757_0.jpg,1192,24,1216,0.012616,,,,,,
20952,20952_90.jpg,2069,24,2093,0.021386,,,,,,
5560,5560_5.jpg,1606,40,1646,0.01722,,,2750,m,,
315,315_0.jpg,8984,39,9023,0.090971,,,9,m,,
3121,3121_7.jpg,999,24,1023,0.010686,,,,,,
25339,25339_10.jpg,1098,24,1122,0.011676,,,,,,
20952,20952_23.jpg,2092,24,2116,0.021616,,,,,,
5560,5560_12.jpg,1538,24,1562,0.016076,,,,,,
19768,19768_10.jpg,1904,24,1928,0.019736,,,,,,
20952,20952_73.jpg,1587,24,1611,0.016566,,,,,,
4781,4781_3.jpg,2808,24,2832,0.028776,,,,,,
3121,3121_4.jpg,2607,24,2631,0.026766,,,,,,
20952,20952_36.jpg,1968,24,1992,0.020376,,,,,,
20952,20952_26.jpg,1880,43,1923,0.020047,,,312.67,müNN,,
13082,13082_0.jpg,9168,63,9231,0.093507,,,,,,
4781,4781_6.jpg,1480,43,1523,0.016047,432.5,Meter über NN,,,,
66,66_5.jpg,1525,24,1549,0.015946,,,,,,
6500,6500_10.jpg,1435,24,1459,0.015046,,,,,,
16091,16091_6.jpg,960,63,1023,0.011427,,,,,,
20952,20952_125.jpg,2000,24,2024,0.020696,,,,,,
319,319_2.jpg,1440,24,1464,0.015096,,,,,,
20952,20952_28.jpg,1890,24,1914,0.019596,,,,,,
566,566_5.jpg,1668,24,1692,0.017376,,,,,,
25339,25339_8.jpg,2129,24,2153,0.021986,,,,,,
20952,20952_55.jpg,1955,24,1979,0.020246,,,,,,
16091,16091_14.jpg,1303,24,1327,0.013726,,,,,,
20952,20952_22.jpg,1850,24,1874,0.019196,,,,,,
19768,19768_15.jpg,1345,24,1369,0.014146,,,,,,
20952,20952_54.jpg,1673,24,1697,0.017426,,,,,,
4484,4484_5.jpg,1481,24,1505,0.015506,,,,,,
3121,3121_0.jpg,1279,24,1303,0.013486,,,,,,
20952,20952_9.jpg,1878,24,1902,0.019476,,,,,,
20952,20952_24.jpg,1837,63,1900,0.020197,,,,,,
1,1_0.jpg,1716,24,1740,0.017856,,,,,,
319,319_5.jpg,1324,24,1348,0.013936,,,,,,
19768,19768_8.jpg,2425,24,2449,0.024946,,,,,,
19768,19768_4.jpg,1841,24,1865,0.019106,,,,,,
16091,16091_4.jpg,1659,24,1683,0.017286,,,,,,
20952,20952_100.jpg,1167,24,1191,0.012366,,,,,,
67,67_1.jpg,1352,24,1376,0.014216,,,,,,
20952,20952_70.jpg,1550,24,1574,0.016196,,,,,,
6500,6500_2.jpg,1318,24,1342,0.013876,,,,,,
566,566_4.jpg,1437,24,1461,0.015066,,,,,,
316,316_0.jpg,1727,24,1751,0.017966,,,,,,
20952,20952_79.jpg,1519,24,1543,0.015886,,,,,,
16091,16091_8.jpg,960,63,1023,0.011427,,,,,,
1047,1047_5.jpg,2573,63,2636,0.027557,,,,,,
76,76_0.jpg,4394,24,4418,0.044636,,,,,,
17,17_1.jpg,1344,24,1368,0.014136,,,,,,
7345,7345_4.jpg,1556,24,1580,0.016256,,,,,,
25582,25582_10.jpg,1785,24,1809,0.018546,,,,,,
20952,20952_8.jpg,1731,24,1755,0.018006,,,,,,
20952,20952_57.jpg,2110,24,2134,0.021796,,,,,,
248,248_0.jpg,1111,24,1135,0.011806,,,,,,
20952,20952_129.jpg,1971,24,1995,0.020406,,,,,,
3869,3869_9.jpg,1793,24,1817,0.018626,,,,,,
3121,3121_8.jpg,1636,24,1660,0.017056,,,,,,
25582,25582_0.jpg,1872,24,1896,0.019416,,,,,,
5560,5560_14.jpg,1304,24,1328,0.013736,,,,,,
4781,4781_4.jpg,2115,24,2139,0.021846,,,,,,
1047,1047_3.jpg,2174,37,2211,0.022813,,,,,,
20952,20952_75.jpg,1771,24,1795,0.018406,,,,,,
6500,6500_5.jpg,1284,24,1308,0.013536,,,,,,
6667,6667_6.jpg,1347,24,1371,0.014166,,,,,,
25582,25582_5.jpg,1995,24,2019,0.020646,,,,,,
20952,20952_108.jpg,1799,24,1823,0.018686,,,,,,
4938,4938_0.jpg,960,24,984,0.010296,,,,,,
25582,25582_7.jpg,1804,24,1828,0.018736,,,,,,
20952,20952_39.jpg,1550,24,1574,0.016196,,,,,,
20952,20952_1.jpg,1176,24,1200,0.012456,,,,,,
5917,5917_1.jpg,1197,24,1221,0.012666,,,,,,
16091,16091_12.jpg,960,63,1023,0.011427,,,,,,
7345,7345_0.jpg,1152,24,1176,0.012216,,,,,,
5311,5311_2.jpg,1501,24,1525,0.015706,,,,,,
20952,20952_131.jpg,1269,24,1293,0.013386,,,,,,
5311,5311_4.jpg,1759,24,1783,0.018286,,,,,,
20952,20952_15.jpg,1465,24,1489,0.015346,,,,,,
19768,19768_12.jpg,2127,24,2151,0.021966,,,,,,
20952,20952_120.jpg,1526,24,1550,0.015956,,,,,,
10897,10897_0.jpg,2904,24,2928,0.029736,,,,,,
20952,20952_93.jpg,2155,24,2179,0.022246,,,,,,
20952,20952_2.jpg,2366,24,2390,0.024356,,,,,,
15597,15597_3.jpg,2090,24,2114,0.021596,,,,,,
7345,7345_3.jpg,1521,24,1545,0.015906,,,,,,
20952,20952_85.jpg,2133,24,2157,0.022026,,,,,,
6212,6212_0.jpg,1215,24,1239,0.012846,,,,,,
20952,20952_86.jpg,1194,24,1218,0.012636,,,,,,
20952,20952_27.jpg,1710,24,1734,0.017796,,,,,,
5261,5261_1.jpg,997,24,1021,0.010666,,,,,,
20952,20952_92.jpg,1577,24,1601,0.016466,,,,,,
5917,5917_3.jpg,2049,24,2073,0.021186,,,,,,
20952,20952_117.jpg,1521,24,1545,0.015906,,,,,,
1047,1047_7.jpg,1258,24,1282,0.013276,,,,,,
6667,6667_2.jpg,2289,24,2313,0.023586,,,,,,
4484,4484_0.jpg,1170,24,1194,0.012396,,,,,,
319,319_13.jpg,1457,24,1481,0.015266,,,,,,
20952,20952_103.jpg,1741,24,1765,0.018106,,,,,,
20952,20952_114.jpg,1567,24,1591,0.016366,,,,,,
19768,19768_3.jpg,1553,24,1577,0.016226,,,,,,
20952,20952_130.jpg,2229,24,2253,0.022986,,,,,,
7345,7345_2.jpg,1478,24,1502,0.015476,,,,,,
16801,16801_1.jpg,1194,24,1218,0.012636,,,,,,
7345,7345_1.jpg,1308,24,1332,0.013776,,,,,,
16091,16091_2.jpg,960,24,984,0.010296,,,,,,
4781,4781_5.jpg,1579,24,1603,0.016486,,,,,,
5560,5560_4.jpg,2088,24,2112,0.021576,,,,,,
20952,20952_34.jpg,1831,24,1855,0.019006,,,,,,
20952,20952_10.jpg,1987,24,2011,0.020566,,,,,,
16091,16091_0.jpg,1005,24,1029,0.010746,,,,,,
5560,5560_13.jpg,1813,24,1837,0.018826,,,,,,
3121,3121_5.jpg,2627,24,2651,0.026966,,,,,,
25339,25339_6.jpg,1784,24,1808,0.018536,,,,,,
4781,4781_2.jpg,1736,24,1760,0.018056,,,,,,
20952,20952_63.jpg,2179,24,2203,0.022486,,,,,,
5261,5261_2.jpg,1375,24,1399,0.014446,,,,,,
20952,20952_50.jpg,1869,24,1893,0.019386,,,,,,
20952,20952_31.jpg,1976,24,2000,0.020456,,,,,,
5261,5261_6.jpg,1446,24,1470,0.015156,,,,,,
1047,1047_0.jpg,1167,24,1191,0.012366,,,,,,
17,17_4.jpg,1344,24,1368,0.014136,,,,,,
20952,20952_52.jpg,1679,24,1703,0.017486,,,,,,
15597,15597_6.jpg,1427,24,1451,0.014966,,,,,,
15597,15597_2.jpg,1589,24,1613,0.016586,,,,,,
10896,10896_0.jpg,7110,24,7134,0.071796,,,,,,
5306,5306_0.jpg,2594,24,2618,0.026636,,,,,,
20952,20952_20.jpg,2115,24,2139,0.021846,,,,,,
3869,3869_8.jpg,2362,24,2386,0.024316,,,,,,
20952,20952_32.jpg,2162,24,2186,0.022316,,,,,,
20952,20952_101.jpg,1750,24,1774,0.018196,,,,,,
20952,20952_48.jpg,2070,24,2094,0.021396,,,,,,
20952,20952_56.jpg,1083,24,1107,0.011526,,,,,,
566,566_1.jpg,1950,24,1974,0.020196,,,,,,
20952,20952_53.jpg,1817,24,1841,0.018866,,,,,,
5261,5261_5.jpg,1111,24,1135,0.011806,,,,,,
20952,20952_12.jpg,1565,24,1589,0.016346,,,,,,
3869,3869_5.jpg,2445,43,2488,0.025697,140.95,müNN,,,,
316,316_2.jpg,1443,24,1467,0.015126,,,,,,
4781,4781_8.jpg,1184,24,1208,0.012536,,,,,,
15597,15597_8.jpg,1615,24,1639,0.016846,,,,,,
19768,19768_7.jpg,2042,24,2066,0.021116,,,,,,
5260,5260_0.jpg,8876,63,8939,0.090587,,,,,,
20952,20952_89.jpg,1963,24,1987,0.020326,,,,,,
319,319_0.jpg,1767,24,1791,0.018366,,,,,,
6500,6500_13.jpg,1312,24,1336,0.013816,,,,,,
20952,20952_60.jpg,1638,24,1662,0.017076,,,,,,
20952,20952_106.jpg,1723,24,1747,0.017926,,,,,,
20952,20952_126.jpg,1714,24,1738,0.017836,,,,,,
319,319_1.jpg,1456,24,1480,0.015256,,,,,,
4484,4484_4.jpg,1861,24,1885,0.019306,,,,,,
20952,20952_38.jpg,1788,24,1812,0.018576,,,,,,
4781,4781_9.jpg,1172,24,1196,0.012416,,,,,,
566,566_0.jpg,1854,24,1878,0.019236,,,,,,
17623,17623_0.jpg,2859,24,2883,0.029286,,,,,,
5560,5560_8.jpg,1544,24,1568,0.016136,,,,,,
3121,3121_2.jpg,2515,24,2539,0.025846,,,,,,
17,17_2.jpg,1770,24,1794,0.018396,,,,,,
5917,5917_0.jpg,1668,24,1692,0.017376,,,,,,
566,566_3.jpg,2105,24,2129,0.021746,,,,,,
12641,12641_6.jpg,1076,41,1117,0.011949,,,,,238.5,cm
6540,6540_0.jpg,3262,24,3286,0.033316,,,,,,
14262,14262_0.jpg,1210,24,1234,0.012796,,,,,,
21745,21745_0.jpg,1128,24,1152,0.011976,,,,,,
5261,5261_14.jpg,1675,24,1699,0.017446,,,,,,
19768,19768_6.jpg,2159,24,2183,0.022286,,,,,,
20952,20952_68.jpg,1477,24,1501,0.015466,,,,,,
20952,20952_64.jpg,1554,24,1578,0.016236,,,,,,
12641,12641_5.jpg,1469,41,1510,0.015879,,,,,535.5,m
8050,8050_0.jpg,1859,24,1883,0.019286,,,,,,
20952,20952_17.jpg,1944,24,1968,0.020136,,,,,,
25339,25339_2.jpg,1321,24,1345,0.013906,,,,,,
16091,16091_7.jpg,2030,24,2054,0.020996,,,,,,
16801,16801_3.jpg,1497,24,1521,0.015666,,,,,,
6667,6667_4.jpg,1796,24,1820,0.018656,,,,,,
6667,6667_0.jpg,1101,24,1125,0.011706,,,,,,
20952,20952_84.jpg,1772,24,1796,0.018416,,,,,,
25339,25339_9.jpg,1984,24,2008,0.020536,,,,,,
20963,20963_1.jpg,1351,24,1375,0.014206,,,,,,
319,319_3.jpg,1268,24,1292,0.013376,,,,,,
1047,1047_8.jpg,1886,24,1910,0.019556,,,,,,
3869,3869_6.jpg,1355,24,1379,0.014246,,,,,,
20952,20952_59.jpg,1675,24,1699,0.017446,,,,,,
15597,15597_7.jpg,1400,24,1424,0.014696,,,,,,
6500,6500_7.jpg,1682,24,1706,0.017516,,,,,,
7361,7361_0.jpg,3240,24,3264,0.033096,,,,,,
12641,12641_0.jpg,1721,24,1745,0.017906,,,,,,
20952,20952_14.jpg,1597,24,1621,0.016666,,,,,,
5261,5261_10.jpg,2163,24,2187,0.022326,,,,,,
20952,20952_95.jpg,1820,24,1844,0.018896,,,,,,
100,100_0.jpg,8181,24,8205,0.082506,,,,,,
5560,5560_6.jpg,1675,24,1699,0.017446,,,,,,
5560,5560_1.jpg,1869,24,1893,0.019386,,,,,,
316,316_5.jpg,1875,24,1899,0.019446,,,,,,
5030,5030_0.jpg,1185,24,1209,0.012546,,,,,,
20952,20952_82.jpg,1650,24,1674,0.017196,,,,,,
25582,25582_11.jpg,1801,24,1825,0.018706,,,,,,
20952,20952_30.jpg,2023,24,2047,0.020926,,,,,,
5261,5261_3.jpg,1369,24,1393,0.014386,,,,,,
20952,20952_110.jpg,1524,24,1548,0.015936,,,,,,
16091,16091_13.jpg,1780,24,1804,0.018496,,,,,,
15597,15597_5.jpg,1680,24,1704,0.017496,,,,,,
