id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,grz_value,gfz_value,grz,gfz
319,319_10.jpg,993,30,1023,0.010799999999999999,,,,
12641,12641_4.jpg,1234,30,1264,0.01321,,,,
20952,20952_66.jpg,1381,30,1411,0.01468,,,,
25339,25339_1.jpg,1145,30,1175,0.01232,,,,
20952,20952_5.jpg,1575,30,1605,0.01662,,,,
19768,19768_13.jpg,1818,30,1848,0.01905,,,,
5311,5311_1.jpg,969,30,999,0.01056,,,,
3869,3869_3.jpg,1968,30,1998,0.02055,,,,
319,319_7.jpg,751,30,781,0.00838,,,,
25339,25339_3.jpg,1055,30,1085,0.01142,,,,
20952,20952_45.jpg,1511,30,1541,0.01598,,,,
17380,17380_0.jpg,7281,36,7317,0.073854,0.6,1.2,,
25757,25757_0.jpg,767,36,803,0.008714000000000001,0.05,1.2,,
315,315_0.jpg,8559,36,8595,0.086634,0.4,0.8,,
3121,3121_7.jpg,574,30,604,0.0066099999999999996,,,,
3121,3121_4.jpg,2182,30,2212,0.02269,,,,
13082,13082_0.jpg,8743,33,8776,0.08838700000000001,0.8,,,
4781,4781_6.jpg,1055,30,1085,0.01142,,,,
66,66_5.jpg,1100,30,1130,0.01187,,,,
566,566_5.jpg,1243,30,1273,0.013300000000000001,,,,
19768,19768_15.jpg,920,30,950,0.010069999999999999,,,,
3121,3121_0.jpg,854,30,884,0.00941,,,,
1,1_0.jpg,1291,30,1321,0.013779999999999999,,,,
319,319_5.jpg,899,30,929,0.009859999999999999,,,,
67,67_1.jpg,927,33,960,0.010227,,0.5,,
6500,6500_2.jpg,893,30,923,0.0098,,,,
566,566_4.jpg,1012,30,1042,0.01099,,,,
316,316_0.jpg,1302,30,1332,0.01389,,,,
16091,16091_8.jpg,535,30,565,0.006220000000000001,,,,
1047,1047_5.jpg,2148,30,2178,0.022350000000000002,,,,
76,76_0.jpg,3969,36,4005,0.040734,0.3,0.5,,
17,17_1.jpg,919,30,949,0.01006,,,,
7345,7345_4.jpg,1131,30,1161,0.01218,,,,
25582,25582_10.jpg,1360,30,1390,0.01447,,,,
248,248_0.jpg,686,30,716,0.007730000000000001,,,,
25582,25582_0.jpg,1447,30,1477,0.01534,,,,
1047,1047_3.jpg,1749,30,1779,0.01836,,,,
6667,6667_6.jpg,922,30,952,0.01009,,,,
4938,4938_0.jpg,535,30,565,0.006220000000000001,,,,
5917,5917_1.jpg,772,30,802,0.00859,,,,
16091,16091_12.jpg,535,30,565,0.006220000000000001,,,,
7345,7345_0.jpg,727,30,757,0.00814,,,,
5311,5311_2.jpg,1076,30,1106,0.01163,,,,
5311,5311_4.jpg,1334,30,1364,0.01421,,,,
10897,10897_0.jpg,2479,30,2509,0.025660000000000002,,,,
15597,15597_3.jpg,1665,30,1695,0.01752,,,,
7345,7345_3.jpg,1096,16,1112,0.011424000000000002,,,,
6212,6212_0.jpg,790,30,820,0.00877,,,,
5261,5261_1.jpg,572,30,602,0.0065899999999999995,,,,
5917,5917_3.jpg,1624,30,1654,0.01711,,,,
1047,1047_7.jpg,833,16,849,0.008794000000000001,,,,
6667,6667_2.jpg,1864,30,1894,0.01951,,,,
4484,4484_0.jpg,745,30,775,0.00832,,,,
7345,7345_2.jpg,1053,30,1083,0.011399999999999999,,,,
16801,16801_1.jpg,769,30,799,0.00856,,,,
7345,7345_1.jpg,883,30,913,0.0097,,,,
16091,16091_2.jpg,535,30,565,0.006220000000000001,,,,
16091,16091_0.jpg,580,30,610,0.00667,,,,
3121,3121_5.jpg,2202,30,2232,0.02289,,,,
25339,25339_6.jpg,1359,30,1389,0.014459999999999999,,,,
4781,4781_2.jpg,1311,30,1341,0.01398,,,,
1047,1047_0.jpg,742,30,772,0.00829,,,,
17,17_4.jpg,919,30,949,0.01006,,,,
15597,15597_2.jpg,1164,30,1194,0.012509999999999999,,,,
10896,10896_0.jpg,6685,33,6718,0.06780699999999999,0.3,,,
5306,5306_0.jpg,2169,30,2199,0.02256,,,,
3869,3869_8.jpg,1937,30,1967,0.02024,,,,
566,566_1.jpg,1525,30,1555,0.01612,,,,
316,316_2.jpg,1018,30,1048,0.011049999999999999,,,,
4781,4781_8.jpg,759,30,789,0.00846,,,,
5260,5260_0.jpg,8451,33,8484,0.085467,0.7,,,
12641,12641_1.jpg,1204,30,1234,0.01291,,,,
4484,4484_4.jpg,1436,30,1466,0.015229999999999999,,,,
17623,17623_0.jpg,2434,30,2464,0.02521,,,,
5560,5560_8.jpg,1119,30,1149,0.01206,,,,
3121,3121_2.jpg,2090,30,2120,0.021769999999999998,,,,
17,17_2.jpg,1345,30,1375,0.01432,,,,
5917,5917_0.jpg,1243,30,1273,0.013300000000000001,,,,
566,566_3.jpg,1680,30,1710,0.017669999999999998,,,,
6540,6540_0.jpg,2837,30,2867,0.029240000000000002,,,,
14262,14262_0.jpg,785,30,815,0.00872,,,,
21745,21745_0.jpg,703,30,733,0.007899999999999999,,,,
5261,5261_14.jpg,1250,30,1280,0.01337,,,,
20952,20952_64.jpg,1129,30,1159,0.012159999999999999,,,,
12641,12641_5.jpg,1044,30,1074,0.01131,,,,
8050,8050_0.jpg,1434,30,1464,0.01521,,,,
16801,16801_3.jpg,1072,30,1102,0.01159,,,,
6667,6667_4.jpg,1371,30,1401,0.01458,,,,
6667,6667_0.jpg,676,30,706,0.0076300000000000005,,,,
20963,20963_1.jpg,926,30,956,0.01013,,,,
319,319_3.jpg,843,30,873,0.0093,,,,
3869,3869_6.jpg,930,36,966,0.010344,0.6,1.2,,
7361,7361_0.jpg,2815,30,2845,0.02902,,,,
5261,5261_10.jpg,1738,30,1768,0.01825,,,,
100,100_0.jpg,7756,30,7786,0.07843,,,,
5560,5560_6.jpg,1250,30,1280,0.01337,,,,
316,316_5.jpg,1450,30,1480,0.015369999999999998,,,,
5030,5030_0.jpg,760,30,790,0.00847,,,,
15597,15597_5.jpg,1255,30,1285,0.013419999999999998,,,,
